"","Player","X.x","Year","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X.y","height","weight","collage","born","birth_city","birth_state","X","Team","Salary","conference"
"1","Stephen Curry",24216,2017,"PG",28,"GSW",79,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.1,2.6,0.5,13,30.1,8.6,3.9,12.6,0.229,7.7,-0.4,7.3,6.2,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,523,143,17,239,183,1999,3343,190,86,"Davidson College",1988,"Akron","Ohio",1,"GSW",34682550,FALSE
"2","LeBron James",24365,2017,"SF",32,"CLE",74,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,12.9,0.221,6.8,1.6,8.4,7.3,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,543,640,646,92,44,303,134,1954,2944,203,113,"",1984,"Akron","Ohio",2,"CLE",33285709,TRUE
"3","Paul Millsap",24467,2017,"PF",31,"ATL",69,67,2343,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,0.132,0.5,2.1,2.7,2.7,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246,3173,203,111,"Louisiana Tech University",1985,"Monroe","Louisiana",3,"DEN",31269231,TRUE
"4","Gordon Hayward",24321,2017,"SF",26,"UTA",73,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.2,0,4.2,4,545,1156,0.471,149,374,0.398,396,782,0.506,0.536,362,429,0.844,49,344,393,252,73,20,140,117,1601,3415,203,102,"Butler University",1990,"Indianapolis","Indiana",4,"BOS",29727900,FALSE
"5","Blake Griffin",24302,2017,"PF",27,"LAC",61,61,2076,22.7,0.569,0.116,0.434,6.1,20.2,13.4,24.5,1.4,0.9,10.9,28,5.4,2.4,7.7,0.179,3.2,1.3,4.4,3.4,479,971,0.493,38,113,0.336,441,858,0.514,0.513,320,421,0.76,111,385,496,300,58,23,142,157,1316,3412,208,113,"University of Oklahoma",1989,"Oklahoma City","Oklahoma",5,"DET",29512900,FALSE
"6","Kyle Lowry",24429,2017,"PG",30,"TOR",60,60,2244,22.9,0.623,0.51,0.398,2.4,12.1,7.3,29.9,2,0.7,13.8,24.9,7.8,2.3,10.1,0.216,7.1,-0.4,6.7,4.9,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,240,288,417,88,19,173,170,1344,3167,183,92,"Villanova University",1986,"Philadelphia","Pennsylvania",6,"TOR",28703704,TRUE
"7","Mike Conley",24201,2017,"PG",29,"MEM",69,68,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10,0.209,6.5,-0.7,5.8,4.5,464,1009,0.46,171,419,0.408,293,590,0.497,0.545,316,368,0.859,31,211,242,433,92,19,156,126,1415,3213,185,79,"Ohio State University",1987,"Fayetteville","Arkansas",8,"MEM",28530608,FALSE
"8","Russell Westbrook",24654,2017,"PG",28,"OKC",81,81,2802,30.6,0.554,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,0.224,10.9,4.7,15.6,12.4,824,1941,0.425,200,583,0.343,624,1358,0.459,0.476,710,840,0.845,137,727,864,840,133,31,438,190,2558,3325,190,90,"University of California, Los Angeles",1988,"Long Beach","California",7,"OKC",28530608,FALSE
"9","James Harden",24306,2017,"PG",27,"HOU",81,81,2947,27.3,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,11.5,3.6,15,0.245,8.7,1.5,10.1,9,674,1533,0.44,262,756,0.347,412,777,0.53,0.525,746,881,0.847,95,564,659,906,120,37,464,215,2356,3357,196,99,"Arizona State University",1989,"Los Angeles","California",9,"HOU",28299399,FALSE
"10","DeMar DeRozan",24226,2017,"SG",27,"TOR",74,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,9,0.166,2.4,-1.5,0.9,1.9,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020,3345,201,100,"University of Southern California",1989,"Compton","California",10,"TOR",27739975,TRUE
"11","Al Horford",24343,2017,"C",30,"BOS",68,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,3.6,2.7,6.3,0.137,1,2.1,3.1,2.8,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,369,464,337,52,87,116,138,952,3230,208,111,"University of Florida",1986,"Puerto Plata","Dominican Republic",11,"BOS",27734405,TRUE
"12","Carmelo Anthony",24116,2017,"SF",32,"NYK",74,74,2538,17.9,0.535,0.303,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,374,436,213,60,34,153,198,1659,2907,203,108,"Syracuse University",1984,"New York","New York",12,"OKC",26243760,TRUE
"13","Damian Lillard",24421,2017,"PG",26,"POR",75,75,2694,24.1,0.586,0.388,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.3,0.184,6.4,-2,4.3,4.3,661,1488,0.444,214,578,0.37,447,910,0.491,0.516,488,545,0.895,46,322,368,439,68,20,197,152,2024,3570,190,88,"Weber State University",1990,"Oakland","California",13,"POR",26153057,FALSE
"14","Jrue Holiday",24338,2017,"PG",26,"NOP",67,61,2190,17.1,0.532,0.314,0.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,1.2,2.6,3.8,0.084,1.2,0.5,1.7,2,405,894,0.453,100,281,0.356,305,613,0.498,0.509,119,168,0.708,46,218,264,488,100,43,194,133,1029,3359,193,92,"University of California, Los Angeles",1990,"Chatsworth","California",14,"NOP",25686667,FALSE
"15","Kevin Durant",24239,2017,"SF",28,"GSW",62,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8,4,12,0.277,5.4,2.6,8,5.2,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555,3220,206,108,"University of Texas at Austin",1988,"Washington","District of Columbia",16,"GSW",2.5e+07,FALSE
"16","Otto Porter",24538,2017,"SF",23,"WAS",80,80,2605,17.3,0.628,0.425,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.8,15.1,6.5,2.9,9.4,0.173,3,0.9,3.9,3.9,414,803,0.516,148,341,0.434,266,462,0.576,0.608,99,119,0.832,118,397,515,121,116,41,43,193,1075,3665,203,89,"Georgetown University",1993,"St. Louis","Missouri",17,"WAS",24773250,TRUE
"17","Chris Paul",24522,2017,"PG",31,"LAC",61,61,1921,26.2,0.614,0.385,0.331,2.5,14.9,8.8,46.8,3.1,0.3,14,24.4,8,2.6,10.6,0.264,7.8,1,8.7,5.2,374,785,0.476,124,302,0.411,250,483,0.518,0.555,232,260,0.892,41,263,304,563,118,8,147,146,1104,3096,183,79,"Wake Forest University",1985,"Winston-Salem","North Carolina",18,"HOU",24599495,FALSE
"18","C.J. McCollum",24443,2017,"SG",25,"POR",80,80,2796,19.9,0.585,0.305,0.204,2.4,9.2,5.8,18,1.3,1.2,9.9,27.5,6.2,1.4,7.6,0.131,3.3,-2.2,1,2.1,692,1441,0.48,185,440,0.42,507,1001,0.506,0.544,268,294,0.912,60,231,291,285,72,42,172,202,1837,3651,190,86,"",1991,"","",19,"POR",23962573,FALSE
"19","Andre Drummond",24233,2017,"C",23,"DET",81,81,2409,20.9,0.518,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,771,1116,89,124,89,152,237,1105,3545,211,126,"University of Connecticut",1993,"Mount Vernon","New York",22,"DET",23775506,TRUE
"20","Anthony Davis",24218,2017,"C",23,"NOP",75,75,2708,27.5,0.579,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.196,1.4,2.3,3.7,3.9,770,1527,0.504,40,134,0.299,730,1393,0.524,0.517,519,647,0.802,174,712,886,157,94,167,181,168,2099,3543,206,97,"University of Texas at El Paso",1968,"Oakland","California",21,"NOP",23775506,FALSE
"21","Bradley Beal",24137,2017,"SG",23,"WAS",77,77,2684,20.1,0.604,0.418,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,6.8,1.6,8.5,0.151,4.5,-2.4,2.2,2.8,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,186,239,267,83,21,157,169,1779,3537,196,93,"University of Florida",1993,"St. Louis","Missouri",20,"WAS",23775506,TRUE
"22","Dwight Howard",24345,2017,"C",31,"ATL",74,74,2199,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,0.181,-0.5,2.8,2.3,2.4,388,613,0.633,0,2,0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002,3000,211,120,"",1985,"Atlanta","Georgia",24,"CHO",23500000,TRUE
"23","Chandler Parsons",24519,2017,"SF",28,"MEM",34,34,675,7.6,0.436,0.419,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,-0.5,0.7,0.2,0.016,-3.6,-0.5,-4,-0.3,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210,3503,208,104,"University of Florida",1988,"Casselberry","Florida",25,"MEM",23112004,FALSE
"24","Harrison Barnes",24127,2017,"PF",24,"DAL",79,79,2803,16.3,0.541,0.173,0.22,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.079,-0.7,-1.2,-1.9,0.1,599,1280,0.468,78,222,0.351,521,1058,0.492,0.498,242,281,0.861,94,303,397,117,66,15,102,128,1518,3533,190,92,"Northeastern University",1945,"","",26,"DAL",23112004,FALSE
"25","J.J. Redick",24551,2017,"SG",32,"LAC",78,78,2198,14.8,0.599,0.526,0.227,0.6,7.9,4.3,7.8,1.3,0.5,9.1,21.9,3.3,1.5,4.8,0.105,2,-2,0,1.1,396,890,0.445,201,468,0.429,195,422,0.462,0.558,180,202,0.891,11,160,171,110,55,13,98,125,1173,3184,188,86,"",1984,"","",27,"PHI",2.3e+07,FALSE
"26","Brook Lopez",24426,2017,"C",28,"BRK",75,75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,1.9,-0.4,1.5,2,555,1172,0.474,134,387,0.346,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539,3302,213,124,"Stanford University",1988,"North Hollywood","California",30,"LAL",22642350,TRUE
"27","DeAndre Jordan",24389,2017,"C",28,"LAC",81,81,2570,21.8,0.673,0.003,0.737,13.3,34.6,24.2,5.7,1,4.3,13.2,15.3,7.2,4.6,11.8,0.22,1,3,4,3.9,412,577,0.714,0,2,0,412,575,0.717,0.714,205,425,0.482,297,817,1114,96,52,135,116,212,1029,3298,211,120,"Texas A&M University",1988,"Houston","Texas",31,"LAC",22642350,FALSE
"28","Kevin Love",24428,2017,"PF",28,"CLE",60,60,1885,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4,2.4,6.4,0.163,1.7,-0.9,0.8,1.3,370,867,0.427,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,22,122,125,1142,3304,208,113,"University of California, Los Angeles",1988,"Santa Monica","California",29,"CLE",22642350,TRUE
"29","Marc Gasol",24273,2017,"C",32,"MEM",74,74,2531,20.2,0.554,0.231,0.286,2.6,18.7,10.4,24.8,1.4,3.7,11.3,26.4,4.2,3.5,7.7,0.145,2.1,2.2,4.2,4,532,1160,0.459,104,268,0.388,428,892,0.48,0.503,278,332,0.837,60,402,462,338,67,99,166,171,1446,3283,216,115,"",1985,"Barcelona","Spain",28,"MEM",22642350,FALSE
"30","Giannis Antetokounmpo",24115,2017,"SF",22,"MIL",80,80,2845,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,3608,211,100,"",1994,"Athens","Greece",33,"MIL",22471910,TRUE
"31","Steven Adams",24100,2017,"C",23,"OKC",80,80,2389,16.5,0.589,0.002,0.392,13,15.5,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.4,0.13,-0.7,1.2,0.5,1.5,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,282,333,615,86,88,78,146,195,905,3607,213,115,"University of Pittsburgh",1993,"Rotorua","New Zealand",32,"OKC",22471910,FALSE
"32","Nicolas Batum",24133,2017,"SG",28,"CHO",77,77,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.6,1.6,1,15,22.3,1.7,2.8,4.5,0.083,0.6,0.6,1.2,2.1,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,481,455,86,29,194,109,1164,3272,203,90,"",1988,"Lisieux","France",34,"CHO",22434783,TRUE
